Notes,"Auto (only x, y and -1 will be used)",Main catego,Sub catego name,sub gatego acrynom,Four letter name,"Tail, chain B (GL2, sn-1)","Tail, chain A (GL1, sn-2)","Tail, chain C (only used in TAG)",tail name,Common name,"Description (e.g. mapped structure, example of underlying AA names)",Keywords,Parameterization,Ref(s),Created,Author(s),Modified,Ref area per lipid (nm^2),Warninigs/Notes,,Generator -alhead,Generator -allink,Generator -altail,Sim setup -charge,General notes
,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,Tertiary amine with esters as linkers - NE -neutral,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_NE_dev_v1.itp,Tertiary amine with esters as linkers - neutral,Collection of Ionizable Martini 3 lipids with a DL headgroup and linker,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,NE,Tertiary amine headgroup linked to two esters - neutral,NE,DLNE,CCC,CCC,,di-C14:0,di-C14:0,Tertiary amine with esters as linkers - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,NE,,CCC CCC,0,
,x,NE,Tertiary amine headgroup linked to two esters - neutral,NE,DSNE,CCCC,CCCC,,di-C18:0,di-C18:0,Tertiary amine with esters as linkers - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,NE,,CCCC CCCC,0,
,x,NE,Tertiary amine headgroup linked to two esters - neutral,NE,DBNE,CCCCC,CCCCC,,di-C22:0,di-C22:0,Tertiary amine with esters as linkers - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,NE,,CCCCC CCCCC,0,
,x,NE,Tertiary amine headgroup linked to two esters - neutral,NE,DONE,CDCC,CDCC,,di-C18:1,di-C18:1,Tertiary amine with esters as linkers - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,NE,,CDCC CDCC,0,
,x,NE,Tertiary amine headgroup linked to two esters - neutral,NE,DVNE,CCDC,CCDC,,di-C18:1,di-C18:1,Tertiary amine with esters as linkers - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,NE,,CCDC CCDC,0,
,x,NE,Tertiary amine headgroup linked to two esters - neutral,NE,DENE,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DENE),Tertiary amine with esters as linkers - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,NE,,CCDCC CCDCC,0,
